id,URL,SOURCE
1,http://cdn.playwire.com,blocked-websites-MSM-world-cup.txt
2,http://embedupload.com,blocked-websites-MSM-world-cup.txt
3,http://1fichier.com,blocked-websites-MSM-world-cup.txt
4,http://crocko.com,blocked-websites-MSM-world-cup.txt
5,http://multiupload.nl,blocked-websites-MSM-world-cup.txt
6,http://uppit.com,blocked-websites-MSM-world-cup.txt
7,http://solidfiles.com,blocked-websites-MSM-world-cup.txt
8,http://bayfiles.net,blocked-websites-MSM-world-cup.txt
9,http://tusfiles.net,blocked-websites-MSM-world-cup.txt
10,http://bitshare.com,blocked-websites-MSM-world-cup.txt
11,http://muchshare.net,blocked-websites-MSM-world-cup.txt
12,http://mega.co.nz,blocked-websites-MSM-world-cup.txt
13,http://share-online.biz,blocked-websites-MSM-world-cup.txt
14,http://sendspace.com,blocked-websites-MSM-world-cup.txt
15,http://real4download.com,blocked-websites-MSM-world-cup.txt
16,http://telugumphttp://biz,blocked-websites-MSM-world-cup.txt
17,http://wapkafiles.com,blocked-websites-MSM-world-cup.txt
18,http://telugumasthi.wapka.me,blocked-websites-MSM-world-cup.txt
19,http://telugustar.net,blocked-websites-MSM-world-cup.txt
20,http://myteluguwap.net,blocked-websites-MSM-world-cup.txt
21,http://shttp://myteluguwap.net,blocked-websites-MSM-world-cup.txt
22,http://filestube.to,blocked-websites-MSM-world-cup.txt
23,http://ul.to,blocked-websites-MSM-world-cup.txt
24,http://mightyupload.com,blocked-websites-MSM-world-cup.txt
25,http://uploaded.net,blocked-websites-MSM-world-cup.txt
26,http://freakshare.com,blocked-websites-MSM-world-cup.txt
27,http://putlocker.com,blocked-websites-MSM-world-cup.txt
28,http://uploadable.ch,blocked-websites-MSM-world-cup.txt
29,http://safelinking.net,blocked-websites-MSM-world-cup.txt
30,http://ultramegabit.com,blocked-websites-MSM-world-cup.txt
31,http://terafile.co,blocked-websites-MSM-world-cup.txt
32,http://fileom.com,blocked-websites-MSM-world-cup.txt
33,http://d0http://megashares.com,blocked-websites-MSM-world-cup.txt
34,http://dizzcloud.com,blocked-websites-MSM-world-cup.txt
35,http://lumfile.com,blocked-websites-MSM-world-cup.txt
36,http://fileparadox.in,blocked-websites-MSM-world-cup.txt
37,http://nitrobits.com,blocked-websites-MSM-world-cup.txt
38,http://filemonkey.in,blocked-websites-MSM-world-cup.txt
39,http://fastshare.cz,blocked-websites-MSM-world-cup.txt
40,http://keep2share.cc,blocked-websites-MSM-world-cup.txt
41,http://k2s.cc,blocked-websites-MSM-world-cup.txt
42,http://sharerepo.com,blocked-websites-MSM-world-cup.txt
43,http://depositfiles.com,blocked-websites-MSM-world-cup.txt
44,http://rapidshare.com,blocked-websites-MSM-world-cup.txt
45,http://filerio.com,blocked-websites-MSM-world-cup.txt
46,http://goo.gl,blocked-websites-MSM-world-cup.txt
47,http://fcore.eu,blocked-websites-MSM-world-cup.txt
48,http://anonfiles.com,blocked-websites-MSM-world-cup.txt
49,http://adf.ly,blocked-websites-MSM-world-cup.txt
50,http://megafiles.se,blocked-websites-MSM-world-cup.txt
51,http://exashare.com,blocked-websites-MSM-world-cup.txt
52,http://primeshare.tv,blocked-websites-MSM-world-cup.txt
53,http://uploadc.com,blocked-websites-MSM-world-cup.txt
54,http://epicshare.net,blocked-websites-MSM-world-cup.txt
55,http://dwn.so,blocked-websites-MSM-world-cup.txt
56,http://uploadhero.com,blocked-websites-MSM-world-cup.txt
57,http://dfiles.eu,blocked-websites-MSM-world-cup.txt
58,http://thefile.me,blocked-websites-MSM-world-cup.txt
59,http://nosupload.com,blocked-websites-MSM-world-cup.txt
60,http://uploadsat.com,blocked-websites-MSM-world-cup.txt
61,http://shareflare.net,blocked-websites-MSM-world-cup.txt
62,http://letitbit.net,blocked-websites-MSM-world-cup.txt
63,http://filesfrog.net,blocked-websites-MSM-world-cup.txt
